Datetime,Symbol,Open,High,Low,Close,Volume
2025-06-30 19:24:00,QQQ,551.375,551.5,551.375,551.415,85123.0
2025-06-30 19:25:00,QQQ,551.39,551.57,551.39,551.55,243077.0
2025-06-30 19:26:00,QQQ,551.55,551.73,551.55,551.68,140396.0
2025-06-30 19:27:00,QQQ,551.7,551.79,551.58,551.61,158253.0
2025-06-30 19:28:00,QQQ,551.6,551.65,551.5,551.55,101380.0
2025-06-30 19:29:00,QQQ,551.54,551.5601,551.3499,551.395,86168.0
2025-06-30 19:30:00,QQQ,551.39,551.43,551.1316,551.18,131508.0
2025-06-30 19:31:00,QQQ,551.2,551.415,551.175,551.36,77738.0
2025-06-30 19:32:00,QQQ,551.36,551.42,551.18,551.33,128610.0
2025-06-30 19:33:00,QQQ,551.33,551.51,551.31,551.5,75203.0
2025-06-30 19:34:00,QQQ,551.5,551.57,551.42,551.49,199524.0
2025-06-30 19:35:00,QQQ,551.49,551.585,551.43,551.455,101844.0
2025-06-30 19:36:00,QQQ,551.45,551.465,551.28,551.38,136632.0
2025-06-30 19:37:00,QQQ,551.38,551.47,551.245,551.25,202864.0
2025-06-30 19:38:00,QQQ,551.26,551.31,551.12,551.2907,103043.0
2025-06-30 19:39:00,QQQ,551.3,551.4097,551.3,551.313828,86396.0
2025-06-30 19:40:00,QQQ,551.31,551.64,551.3,551.64,104206.0
2025-06-30 19:41:00,QQQ,551.64,551.7,551.4901,551.625,88287.0
2025-06-30 19:42:00,QQQ,551.63,551.7503,551.5489,551.7383,206607.0
2025-06-30 19:43:00,QQQ,551.74,551.83,551.71,551.81,115972.0
2025-06-30 19:44:00,QQQ,551.81,551.84,551.48,551.55,122792.0
2025-06-30 19:45:00,QQQ,551.54,551.61,551.42,551.61,150717.0
2025-06-30 19:46:00,QQQ,551.59,551.72,551.54,551.64,109165.0
2025-06-30 19:47:00,QQQ,551.615,551.9,551.615,551.8408,158758.0
2025-06-30 19:48:00,QQQ,551.84,551.95,551.79,551.885,243209.0
2025-06-30 19:49:00,QQQ,551.89,552.02,551.76,551.93,259298.0
2025-06-30 19:50:00,QQQ,551.92,552.23,551.6,552.17,461477.0
2025-06-30 19:51:00,QQQ,552.16,552.28,552.02,552.24,652206.0
2025-06-30 19:52:00,QQQ,552.24,552.43,552.15,552.225,246859.0
2025-06-30 19:53:00,QQQ,552.2299,552.62,552.09,552.55,414017.0
2025-06-30 19:54:00,QQQ,552.55,552.8,552.55,552.74,539207.0
2025-06-30 19:55:00,QQQ,552.74,552.8,552.345,552.365,344640.0
2025-06-30 19:56:00,QQQ,552.34,552.41,552.07,552.12,333817.0
2025-06-30 19:57:00,QQQ,552.12,552.53,552.015,552.52,288432.0
2025-06-30 19:58:00,QQQ,552.51,552.5501,552.3,552.3,428717.0
2025-06-30 19:59:00,QQQ,552.3,552.3,551.54,551.64,1157130.0
2025-06-30 20:00:00,QQQ,551.64,551.92,551.47,551.56,86493.0
2025-06-30 20:01:00,QQQ,551.53,551.54,551.41,551.5,48730.0
2025-06-30 20:02:00,QQQ,551.46,551.51,551.38,551.5,64325.0
